ano;origem;destino;passageiros
2000;ABDON BATISTASC;CAMPO BELO DO SULSC;2904
2000;ABDON BATISTASC;CAMPOS NOVOSSC;12247
2000;ABDON BATISTASC;CAPÃO ALTOSC;28
2000;ABDON BATISTASC;CERRO NEGROSC;2018
2000;ABDON BATISTASC;ERVAL VELHOSC;2
2000;ABDON BATISTASC;JOAÇABASC;19
2000;ABDON BATISTASC;LAGESSC;2159
2000;ABELARDO LUZSC;BOM JESUSSC;1889
2000;ABELARDO LUZSC;CHAPECÓSC;1004
2000;ABELARDO LUZSC;CORDILHEIRA ALTASC;4
2000;ABELARDO LUZSC;RANCHO QUEIMADOSC;167
2000;ABELARDO LUZSC;XANXERÊSC;8722
2000;ABELARDO LUZSC;XAXIMSC;275
2000;AGROLÂNDIASC;AGRONÔMICASC;2149
2000;AGROLÂNDIASC;ATALANTASC;9324
2000;AGROLÂNDIASC;LAGESSC;697
2000;AGROLÂNDIASC;OTACÍLIO COSTASC;3116
2000;AGROLÂNDIASC;PALMEIRASC;51
2000;AGROLÂNDIASC;RIO DO SULSC;42086
2000;AGROLÂNDIASC;TROMBUDO CENTRALSC;15940
2000;AGRONÔMICASC;AGROLÂNDIASC;2149
2000;AGRONÔMICASC;ATALANTASC;1896
2000;AGRONÔMICASC;BRAÇO DO TROMBUDOSC;43
2000;AGRONÔMICASC;CURITIBANOSSC;174
2000;AGRONÔMICASC;ITAIÓPOLISSC;47
2000;AGRONÔMICASC;POUSO REDONDOSC;2625
2000;AGRONÔMICASC;RIO DO CAMPOSC;91
2000;AGRONÔMICASC;RIO DO SULSC;85503
2000;AGRONÔMICASC;SÃO CRISTOVÃO DO SULSC;26
2000;AGRONÔMICASC;TAIÓSC;1754
2000;AGRONÔMICASC;TROMBUDO CENTRALSC;13146
2000;ALFREDO WAGNERSC;AURORASC;173
2000;ALFREDO WAGNERSC;BOCAINA DO SULSC;84
2000;ALFREDO WAGNERSC;BOM RETIROSC;12077
2000;ALFREDO WAGNERSC;CORREIA PINTOSC;70
2000;ALFREDO WAGNERSC;CURITIBANOSSC;90
2000;ALFREDO WAGNERSC;FLORIANÓPOLISSC;17423
2000;ALFREDO WAGNERSC;FRAIBURGOSC;36
2000;ALFREDO WAGNERSC;ITUPORANGASC;12947
2000;ALFREDO WAGNERSC;LAGESSC;1317
2000;ALFREDO WAGNERSC;LEOBERTO LEALSC;1413
2000;ALFREDO WAGNERSC;MONTE CARLOSC;45
2000;ALFREDO WAGNERSC;PALHOÇASC;4702
2000;ALFREDO WAGNERSC;PONTE ALTASC;44
2000;ALFREDO WAGNERSC;POUSO REDONDOSC;267
2000;ALFREDO WAGNERSC;RANCHO QUEIMADOSC;2700
2000;ALFREDO WAGNERSC;RIO DO SULSC;4775
2000;ALFREDO WAGNERSC;SANTO AMARO DA IMPERATRIZSC;1100
2000;ALFREDO WAGNERSC;SÃO CARLOSSC;176
2000;ALFREDO WAGNERSC;SÃO JOAQUIMSC;411
2000;ALFREDO WAGNERSC;SÃO JOSÉSC;617
2000;ALFREDO WAGNERSC;TAIÓSC;231
2000;ALFREDO WAGNERSC;URUBICISC;7839
2000;ALFREDO WAGNERSC;VIDEIRASC;47
2000;ALFREDO WAGNERSC;ÁGUAS MORNASSC;708
2000;ALTO BELA VISTASC;CONCÓRDIASC;1058
2000;ALTO BELA VISTASC;PERITIBASC;1120
2000;ANCHIETASC;BARRA BONITASC;3002
2000;ANCHIETASC;CAMPO ERÊSC;1836
2000;ANCHIETASC;DESCANSOSC;111
2000;ANCHIETASC;DIONÍSIO CERQUEIRASC;370
2000;ANCHIETASC;FLORIANÓPOLISSC;506
2000;ANCHIETASC;GALVÃOSC;5
2000;ANCHIETASC;GUARACIABASC;5763
2000;ANCHIETASC;IPORÃ DO OESTESC;54
2000;ANCHIETASC;IPUAÇUSC;1
2000;ANCHIETASC;IRACEMINHASC;43
2000;ANCHIETASC;ITAPIRANGASC;218
2000;ANCHIETASC;JOAÇABASC;143
2000;ANCHIETASC;LAGESSC;18
2000;ANCHIETASC;MARAVILHASC;314
2000;ANCHIETASC;PALMA SOLASC;8468
2000;ANCHIETASC;RIO DAS ANTASSC;6214
2000;ANCHIETASC;ROMELÂNDIASC;461
2000;ANCHIETASC;SÃO DOMINGOSSC;18
2000;ANCHIETASC;SÃO JOSÉ DO CEDROSC;7
2000;ANCHIETASC;SÃO LOURENÇO DO OESTESC;473
2000;ANCHIETASC;SÃO MIGUEL DA BOA VISTASC;88
2000;ANCHIETASC;SÃO MIGUEL DO OESTESC;10674
2000;ANCHIETASC;XANXERÊSC;146
2000;ANGELINASC;BRUSQUESC;1473
2000;ANGELINASC;FLORIANÓPOLISSC;4587
2000;ANGELINASC;MAJOR GERCINOSC;835
2000;ANGELINASC;NOVA TRENTOSC;112
2000;ANGELINASC;RANCHO QUEIMADOSC;138
2000;ANGELINASC;SÃO JOSÉSC;3028
2000;ANGELINASC;SÃO JOÃO BATISTASC;818
2000;ANGELINASC;SÃO PEDRO DE ALCÂNTARASC;4120
2000;ANITA GARIBALDISC;CAMPO BELO DO SULSC;3491
2000;ANITA GARIBALDISC;CAMPOS NOVOSSC;6598
2000;ANITA GARIBALDISC;CAPÃO ALTOSC;160
2000;ANITA GARIBALDISC;CELSO RAMOSSC;8742
2000;ANITA GARIBALDISC;CERRO NEGROSC;2822
2000;ANITA GARIBALDISC;LAGESSC;18486
2000;ANITA GARIBALDISC;PASSO DE TORRESSC;50
2000;ANITÁPOLISSC;BENEDITO NOVOSC;1
2000;ANITÁPOLISSC;BLUMENAUSC;2
2000;ANITÁPOLISSC;BRAÇO DO NORTESC;663
2000;ANITÁPOLISSC;DOUTOR PEDRINHOSC;2
2000;ANITÁPOLISSC;FLORIANÓPOLISSC;1332
2000;ANITÁPOLISSC;GASPARSC;4
2000;ANITÁPOLISSC;ITAIÓPOLISSC;3743
2000;ANITÁPOLISSC;MAFRASC;320
2000;ANITÁPOLISSC;PALHOÇASC;1320
2000;ANITÁPOLISSC;RANCHO QUEIMADOSC;552
2000;ANITÁPOLISSC;RIO FORTUNASC;231
2000;ANITÁPOLISSC;SANTA ROSA DE LIMASC;971
2000;ANITÁPOLISSC;SANTO AMARO DA IMPERATRIZSC;1202
2000;ANITÁPOLISSC;SÃO JOSÉSC;393
2000;ANITÁPOLISSC;TAIÓSC;34
2000;ANITÁPOLISSC;ÁGUAS MORNASSC;111
2000;ANTÔNIO CARLOSSC;BIGUAÇUSC;172149
2000;APIÚNASC;ASCURRASC;17571
2000;APIÚNASC;BALNEÁRIO CAMBORIÚSC;163
2000;APIÚNASC;BLUMENAUSC;2975
2000;APIÚNASC;BRUSQUESC;755
2000;APIÚNASC;CANELINHASC;26
2000;APIÚNASC;CORUPÁSC;32
2000;APIÚNASC;FLORIANÓPOLISSC;45
2000;APIÚNASC;GASPARSC;11
2000;APIÚNASC;GUARAMIRIMSC;70
2000;APIÚNASC;IBIRAMASC;1688
2000;APIÚNASC;INDAIALSC;28406
2000;APIÚNASC;ITAJAÍSC;203
2000;APIÚNASC;ITAPEMASC;31
2000;APIÚNASC;JARAGUÁ DO SULSC;92
2000;APIÚNASC;JOINVILLESC;73
2000;APIÚNASC;LAGESSC;95
2000;APIÚNASC;LONTRASSC;424
2000;APIÚNASC;MASSARANDUBASC;26
2000;APIÚNASC;OTACÍLIO COSTASC;23
2000;APIÚNASC;POMERODESC;32
2000;APIÚNASC;PONTE ALTASC;123
2000;APIÚNASC;POUSO REDONDOSC;247
2000;APIÚNASC;PRESIDENTE GETÚLIOSC;212
2000;APIÚNASC;RIO DO SULSC;1661
2000;APIÚNASC;RIO DOS CEDROSSC;38
2000;APIÚNASC;RODEIOSC;5191
2000;APIÚNASC;SÃO BENTO DO SULSC;39
2000;APIÚNASC;SÃO BONIFÁCIOSC;4
2000;APIÚNASC;SÃO JOÃO BATISTASC;18
2000;APIÚNASC;TAIÓSC;41
2000;APIÚNASC;TIJUCASSC;21
2000;APIÚNASC;TIMBÓSC;1404
2000;APIÚNASC;TROMBUDO CENTRALSC;624
2000;ARABUTÃSC;CONCÓRDIASC;6451
2000;ARABUTÃSC;FAXINAL DOS GUEDESSC;59
