NOMESIGMAI,NOMESIG,NOME,UF,GEOCODIGO,LATITUDE,LATITUDEGM,LONGITUDE,LONGITUDEG,RGINT,RGI
ALTA FLORESTA D'OESTERO,Alta Floresta D'OesteRO,Alta Floresta D'Oeste,RO,"1100015",-11.929466,11° 55' 46.08'' S,-61.996483,61° 59' 47.33'' O,Ji-Paraná,Cacoal
ARIQUEMESRO,AriquemesRO,Ariquemes,RO,"1100023",-9.908463,9° 54' 30.47'' S,-63.033268,63° 1' 59.77'' O,Porto Velho,Ariquemes
CABIXIRO,CabixiRO,Cabixi,RO,"1100031",-13.495098,13° 29' 42.35'' S,-60.544666,60° 32' 40.8'' O,Ji-Paraná,Vilhena
CACOALRO,CacoalRO,Cacoal,RO,"1100049",-11.433865,11° 26' 1.91'' S,-61.442944,61° 26' 34.6'' O,Ji-Paraná,Cacoal
CEREJEIRASRO,CerejeirasRO,Cerejeiras,RO,"1100056",-13.194416,13° 11' 39.9'' S,-60.818653,60° 49' 7.15'' O,Ji-Paraná,Vilhena
COLORADO DO OESTERO,Colorado do OesteRO,Colorado do Oeste,RO,"1100064",-13.129307,13° 7' 45.51'' S,-60.550156,60° 33' 0.56'' O,Ji-Paraná,Vilhena
CORUMBIARARO,CorumbiaraRO,Corumbiara,RO,"1100072",-12.998201,12° 59' 53.53'' S,-60.942154,60° 56' 31.75'' O,Ji-Paraná,Vilhena
COSTA MARQUESRO,Costa MarquesRO,Costa Marques,RO,"1100080",-12.435493,12° 26' 7.78'' S,-64.22921,64° 13' 45.15'' O,Ji-Paraná,Ji-Paraná
ESPIGÃO D'OESTERO,Espigão D'oesteRO,Espigão D'oeste,RO,"1100098",-11.532376,11° 31' 56.56'' S,-61.02195,61° 1' 19.02'' O,Ji-Paraná,Cacoal
GUAJARÁ-MIRIMRO,Guajará-MirimRO,Guajará-Mirim,RO,"1100106",-10.773884,10° 46' 25.98'' S,-65.32395,65° 19' 26.23'' O,Porto Velho,Porto Velho
JARURO,JaruRO,Jaru,RO,"1100114",-10.435948,10° 26' 9.42'' S,-62.47623,62° 28' 34.43'' O,Porto Velho,Jaru
JI-PARANÁRO,Ji-ParanáRO,Ji-Paraná,RO,"1100122",-10.882051,10° 52' 55.38'' S,-61.945095,61° 56' 42.34'' O,Ji-Paraná,Ji-Paraná
MACHADINHO D'OESTERO,Machadinho D'oesteRO,Machadinho D'oeste,RO,"1100130",-9.425563,9° 25' 32.02'' S,-61.99959,61° 59' 58.53'' O,Porto Velho,Jaru
NOVA BRASILÂNDIA D'OESTERO,Nova Brasilândia D'oesteRO,Nova Brasilândia D'oeste,RO,"1100148",-11.726287,11° 43' 34.63'' S,-62.317696,62° 19' 3.7'' O,Ji-Paraná,Cacoal
OURO PRETO DO OESTERO,Ouro Preto do OesteRO,Ouro Preto do Oeste,RO,"1100155",-10.723574,10° 43' 24.87'' S,-62.261055,62° 15' 39.8'' O,Ji-Paraná,Ji-Paraná
PIMENTA BUENORO,Pimenta BuenoRO,Pimenta Bueno,RO,"1100189",-11.677537,11° 40' 39.13'' S,-61.183666,61° 11' 1.2'' O,Ji-Paraná,Cacoal
PORTO VELHORO,Porto VelhoRO,Porto Velho,RO,"1100205",-8.768891,8° 46' 8.01'' S,-63.831444,63° 49' 53.2'' O,Porto Velho,Porto Velho
PRESIDENTE MÉDICIRO,Presidente MédiciRO,Presidente Médici,RO,"1100254",-11.170889,11° 10' 15.2'' S,-61.905613,61° 54' 20.21'' O,Ji-Paraná,Ji-Paraná
RIO CRESPORO,Rio CrespoRO,Rio Crespo,RO,"1100262",-9.704914,9° 42' 17.69'' S,-62.898575,62° 53' 54.87'' O,Porto Velho,Ariquemes
ROLIM DE MOURARO,Rolim de MouraRO,Rolim de Moura,RO,"1100288",-11.722259,11° 43' 20.13'' S,-61.78578,61° 47' 8.81'' O,Ji-Paraná,Cacoal
SANTA LUZIA D'OESTERO,Santa Luzia D'oesteRO,Santa Luzia D'oeste,RO,"1100296",-11.907933,11° 54' 28.56'' S,-61.777477,61° 46' 38.92'' O,Ji-Paraná,Cacoal
VILHENARO,VilhenaRO,Vilhena,RO,"1100304",-12.741373,12° 44' 28.94'' S,-60.138584,60° 8' 18.9'' O,Ji-Paraná,Vilhena
SÃO MIGUEL DO GUAPORÉRO,São Miguel do GuaporéRO,São Miguel do Guaporé,RO,"1100320",-11.69242,11° 41' 32.71'' S,-62.716003,62° 42' 57.62'' O,Ji-Paraná,Ji-Paraná
NOVA MAMORÉRO,Nova MamoréRO,Nova Mamoré,RO,"1100338",-10.411285,10° 24' 40.63'' S,-65.33181,65° 19' 54.52'' O,Porto Velho,Porto Velho
ALVORADA D'OESTERO,Alvorada D'OesteRO,Alvorada D'Oeste,RO,"1100346",-11.348168,11° 20' 53.41'' S,-62.28574,62° 17' 8.66'' O,Ji-Paraná,Ji-Paraná
ALTO ALEGRE DOS PARECISRO,Alto Alegre dos ParecisRO,Alto Alegre dos Parecis,RO,"1100379",-12.127673,12° 7' 39.62'' S,-61.85485,61° 51' 17.46'' O,Ji-Paraná,Cacoal
ALTO PARAÍSORO,Alto ParaísoRO,Alto Paraíso,RO,"1100403",-9.719854,9° 43' 11.48'' S,-63.315952,63° 18' 57.42'' O,Porto Velho,Ariquemes
BURITISRO,BuritisRO,Buritis,RO,"1100452",-10.205978,10° 12' 21.52'' S,-63.83125,63° 49' 52.5'' O,Porto Velho,Ariquemes
NOVO HORIZONTE DO OESTERO,Novo Horizonte do OesteRO,Novo Horizonte do Oeste,RO,"1100502",-11.709053,11° 42' 32.59'' S,-61.99935,61° 59' 57.67'' O,Ji-Paraná,Cacoal
CACAULÂNDIARO,CacaulândiaRO,Cacaulândia,RO,"1100601",-10.338717,10° 20' 19.38'' S,-62.900345,62° 54' 1.24'' O,Porto Velho,Ariquemes
CAMPO NOVO DE RONDÔNIARO,Campo Novo de RondôniaRO,Campo Novo de Rondônia,RO,"1100700",-10.56988,10° 34' 11.57'' S,-63.621284,63° 37' 16.63'' O,Porto Velho,Ariquemes
CANDEIAS DO JAMARIRO,Candeias do JamariRO,Candeias do Jamari,RO,"1100809",-8.785357,8° 47' 7.29'' S,-63.69891,63° 41' 56.08'' O,Porto Velho,Porto Velho
CASTANHEIRASRO,CastanheirasRO,Castanheiras,RO,"1100908",-11.427151,11° 25' 37.74'' S,-61.94836,61° 56' 54.1'' O,Ji-Paraná,Cacoal
CHUPINGUAIARO,ChupinguaiaRO,Chupinguaia,RO,"1100924",-12.553257,12° 33' 11.72'' S,-60.90264,60° 54' 9.51'' O,Ji-Paraná,Vilhena
CUJUBIMRO,CujubimRO,Cujubim,RO,"1100940",-9.366146,9° 21' 58.13'' S,-62.580452,62° 34' 49.63'' O,Porto Velho,Ariquemes
GOVERNADOR JORGE TEIXEIRARO,Governador Jorge TeixeiraRO,Governador Jorge Teixeira,RO,"1101005",-10.60973,10° 36' 35.03'' S,-62.72951,62° 43' 46.25'' O,Porto Velho,Jaru
ITAPUÃ DO OESTERO,Itapuã do OesteRO,Itapuã do Oeste,RO,"1101104",-9.185995,9° 11' 9.58'' S,-63.18559,63° 11' 8.12'' O,Porto Velho,Porto Velho
MINISTRO ANDREAZZARO,Ministro AndreazzaRO,Ministro Andreazza,RO,"1101203",-11.197458,11° 11' 50.85'' S,-61.51672,61° 31' 0.19'' O,Ji-Paraná,Cacoal
MIRANTE DA SERRARO,Mirante da SerraRO,Mirante da Serra,RO,"1101302",-11.03063,11° 1' 50.27'' S,-62.674656,62° 40' 28.76'' O,Ji-Paraná,Ji-Paraná
MONTE NEGRORO,Monte NegroRO,Monte Negro,RO,"1101401",-10.259394,10° 15' 33.82'' S,-63.29841,63° 17' 54.27'' O,Porto Velho,Ariquemes
NOVA UNIÃORO,Nova UniãoRO,Nova União,RO,"1101435",-10.91343,10° 54' 48.35'' S,-62.5563,62° 33' 22.69'' O,Ji-Paraná,Ji-Paraná
PARECISRO,ParecisRO,Parecis,RO,"1101450",-12.181126,12° 10' 52.05'' S,-61.603195,61° 36' 11.5'' O,Ji-Paraná,Cacoal
PIMENTEIRAS DO OESTERO,Pimenteiras do OesteRO,Pimenteiras do Oeste,RO,"1101468",-13.481896,13° 28' 54.83'' S,-61.047775,61° 2' 51.99'' O,Ji-Paraná,Vilhena
PRIMAVERA DE RONDÔNIARO,Primavera de RondôniaRO,Primavera de Rondônia,RO,"1101476",-11.830006,11° 49' 48.02'' S,-61.31926,61° 19' 9.33'' O,Ji-Paraná,Cacoal
SÃO FELIPE D'OESTERO,São Felipe D'oesteRO,São Felipe D'oeste,RO,"1101484",-11.911219,11° 54' 40.39'' S,-61.51252,61° 30' 45.08'' O,Ji-Paraná,Cacoal
SÃO FRANCISCO DO GUAPORÉRO,São Francisco do GuaporéRO,São Francisco do Guaporé,RO,"1101492",-12.065844,12° 3' 57.04'' S,-63.569176,63° 34' 9.04'' O,Ji-Paraná,Ji-Paraná
SERINGUEIRASRO,SeringueirasRO,Seringueiras,RO,"1101500",-11.769882,11° 46' 11.58'' S,-63.033768,63° 2' 1.57'' O,Ji-Paraná,Ji-Paraná
TEIXEIRÓPOLISRO,TeixeirópolisRO,Teixeirópolis,RO,"1101559",-10.933662,10° 56' 1.18'' S,-62.256298,62° 15' 22.67'' O,Ji-Paraná,Ji-Paraná
THEOBROMARO,TheobromaRO,Theobroma,RO,"1101609",-10.247428,10° 14' 50.74'' S,-62.350384,62° 21' 1.38'' O,Porto Velho,Jaru
URUPÁRO,UrupáRO,Urupá,RO,"1101708",-11.128194,11° 7' 41.5'' S,-62.37091,62° 22' 15.28'' O,Ji-Paraná,Ji-Paraná
VALE DO ANARIRO,Vale do AnariRO,Vale do Anari,RO,"1101757",-9.857654,9° 51' 27.55'' S,-62.17461,62° 10' 28.6'' O,Porto Velho,Jaru
VALE DO PARAÍSORO,Vale do ParaísoRO,Vale do Paraíso,RO,"1101807",-10.426772,10° 25' 36.38'' S,-62.128525,62° 7' 42.69'' O,Ji-Paraná,Ji-Paraná
ACRELÂNDIAAC,AcrelândiaAC,Acrelândia,AC,"1200013",-10.075689,10° 4' 32.48'' S,-67.052025,67° 3' 7.28'' O,Rio Branco,Rio Branco
ASSIS BRASILAC,Assis BrasilAC,Assis Brasil,AC,"1200054",-10.939371,10° 56' 21.74'' S,-69.56591,69° 33' 57.27'' O,Rio Branco,Brasiléia
BRASILÉIAAC,BrasiléiaAC,Brasiléia,AC,"1200104",-11.015565,11° 0' 56.03'' S,-68.746635,68° 44' 47.89'' O,Rio Branco,Brasiléia
BUJARIAC,BujariAC,Bujari,AC,"1200138",-9.833941,9° 50' 2.19'' S,-67.95237,67° 57' 8.53'' O,Rio Branco,Rio Branco
CAPIXABAAC,CapixabaAC,Capixaba,AC,"1200179",-10.574892,10° 34' 29.61'' S,-67.676834,67° 40' 36.59'' O,Rio Branco,Rio Branco
CRUZEIRO DO SULAC,Cruzeiro do SulAC,Cruzeiro do Sul,AC,"1200203",-7.6306396,7° 37' 50.3'' S,-72.67259,72° 40' 21.32'' O,Cruzeiro do Sul,Cruzeiro do Sul
EPITACIOLÂNDIAAC,EpitaciolândiaAC,Epitaciolândia,AC,"1200252",-11.02546,11° 1' 31.66'' S,-68.743,68° 44' 34.79'' O,Rio Branco,Brasiléia
FEIJÓAC,FeijóAC,Feijó,AC,"1200302",-8.163474,8° 9' 48.51'' S,-70.35375,70° 21' 13.52'' O,Cruzeiro do Sul,Tarauacá
JORDÃOAC,JordãoAC,Jordão,AC,"1200328",-9.193355,9° 11' 36.08'' S,-71.94868,71° 56' 55.23'' O,Cruzeiro do Sul,Tarauacá
MÂNCIO LIMAAC,Mâncio LimaAC,Mâncio Lima,AC,"1200336",-7.613724,7° 36' 49.41'' S,-72.90473,72° 54' 17.05'' O,Cruzeiro do Sul,Cruzeiro do Sul
MANOEL URBANOAC,Manoel UrbanoAC,Manoel Urbano,AC,"1200344",-8.836165,8° 50' 10.19'' S,-69.26275,69° 15' 45.9'' O,Rio Branco,Sena Madureira
MARECHAL THAUMATURGOAC,Marechal ThaumaturgoAC,Marechal Thaumaturgo,AC,"1200351",-8.94758,8° 56' 51.29'' S,-72.787964,72° 47' 16.68'' O,Cruzeiro do Sul,Cruzeiro do Sul
PLÁCIDO DE CASTROAC,Plácido de CastroAC,Plácido de Castro,AC,"1200385",-10.326813,10° 19' 36.53'' S,-67.18409,67° 11' 2.71'' O,Rio Branco,Rio Branco
PORTO WALTERAC,Porto WalterAC,Porto Walter,AC,"1200393",-8.266253,8° 15' 58.51'' S,-72.74703,72° 44' 49.31'' O,Cruzeiro do Sul,Cruzeiro do Sul
RIO BRANCOAC,Rio BrancoAC,Rio Branco,AC,"1200401",-10.009727,10° 0' 35.02'' S,-67.79035,67° 47' 25.27'' O,Rio Branco,Rio Branco
RODRIGUES ALVESAC,Rodrigues AlvesAC,Rodrigues Alves,AC,"1200427",-7.73416,7° 44' 2.98'' S,-72.65061,72° 39' 2.19'' O,Cruzeiro do Sul,Cruzeiro do Sul
SANTA ROSA DO PURUSAC,Santa Rosa do PurusAC,Santa Rosa do Purus,AC,"1200435",-9.436226,9° 26' 10.41'' S,-70.49054,70° 29' 25.93'' O,Rio Branco,Sena Madureira
SENADOR GUIOMARDAC,Senador GuiomardAC,Senador Guiomard,AC,"1200450",-10.150983,10° 9' 3.54'' S,-67.73495,67° 44' 5.81'' O,Rio Branco,Rio Branco
SENA MADUREIRAAC,Sena MadureiraAC,Sena Madureira,AC,"1200500",-9.064782,9° 3' 53.22'' S,-68.655716,68° 39' 20.59'' O,Rio Branco,Sena Madureira
TARAUACÁAC,TarauacáAC,Tarauacá,AC,"1200609",-8.161264,8° 9' 40.55'' S,-70.76627,70° 45' 58.58'' O,Cruzeiro do Sul,Tarauacá
XAPURIAC,XapuriAC,Xapuri,AC,"1200708",-10.654557,10° 39' 16.41'' S,-68.49773,68° 29' 51.82'' O,Rio Branco,Brasiléia
PORTO ACREAC,Porto AcreAC,Porto Acre,AC,"1200807",-9.594195,9° 35' 39.1'' S,-67.540825,67° 32' 26.96'' O,Rio Branco,Rio Branco
ALVARÃESAM,AlvarãesAM,Alvarães,AM,"1300029",-3.2165837,3° 12' 59.7'' S,-64.81354,64° 48' 48.72'' O,Tefé,Tefé
AMATURÁAM,AmaturáAM,Amaturá,AM,"1300060",-3.3631866,3° 21' 47.47'' S,-68.199585,68° 11' 58.5'' O,Tefé,Tabatinga
ANAMÃAM,AnamãAM,Anamã,AM,"1300086",-3.5763705,3° 34' 34.93'' S,-61.405903,61° 24' 21.25'' O,Manaus,Manacapuru
ANORIAM,AnoriAM,Anori,AM,"1300102",-3.7453856,3° 44' 43.39'' S,-61.658955,61° 39' 32.24'' O,Manaus,Coari
APUÍAM,ApuíAM,Apuí,AM,"1300144",-7.193861,7° 11' 37.9'' S,-59.881493,59° 52' 53.38'' O,Lábrea,Manicoré
ATALAIA DO NORTEAM,Atalaia do NorteAM,Atalaia do Norte,AM,"1300201",-4.3678308,4° 22' 4.19'' S,-70.19115,70° 11' 28.14'' O,Tefé,Tabatinga
AUTAZESAM,AutazesAM,Autazes,AM,"1300300",-3.5786636,3° 34' 43.19'' S,-59.133568,59° 8' 0.84'' O,Manaus,Manaus
BARCELOSAM,BarcelosAM,Barcelos,AM,"1300409",-0.97574097,0° 58' 32.67'' S,-62.927555,62° 55' 39.2'' O,Manaus,São Gabriel da Cachoeira
BARREIRINHAAM,BarreirinhaAM,Barreirinha,AM,"1300508",-2.7981498,2° 47' 53.34'' S,-57.06775,57° 4' 3.9'' O,Parintins,Parintins
